feature,importance
log_osrm_dist,0.8657234865835539
log_distance,0.10604960478882075
corr_median_delay_ratio,0.011695560594448196
cutoff_factor,0.00581831393546763
log_osrm_time,0.0020112436203266817
dist_time_ratio,0.0013261640264120745
osrm_speed,0.0008454197376901999
hour_cos,0.0005933764852841845
src_hub_score,0.0005833721624302797
src_avg_delay_ratio,0.0005598555378484707
src_pagerank,0.00046690162997128746
dow_sin,0.00045738210574469847
corr_sla_breach_rate,0.0003562314939394665
dst_betweenness,0.0003426106422588758
src_in_degree,0.0002399678617234572
dst_closeness,0.0002362146927784506
hour,0.00021490303306032974
src_structural_risk_score,0.0002068797685510052
dst_community_id,0.0002053398479303612
hour_sin,0.00019521622140137435
src_community_id,0.00018727156754873384
network_load_norm,0.00018671282507563906
corr_corridor_risk,0.00018214915299932688
dow_cos,0.00017792258513822616
dst_avg_delay_ratio,0.00014704437056862696
src_betweenness,0.00013874692593357672
dow,0.00012785950612525292
corr_trip_count,0.00012228914079586274
src_closeness,0.00011849353560351692
src_avg_sla_breach,0.00011008839802314654
dst_avg_sla_breach,9.883179334239447e-05
src_out_degree,8.3787450051096e-05
dst_pagerank,4.578633008333576e-05
dst_out_degree,4.263805821388053e-05
dst_structural_risk_score,2.98808230992412e-05
dst_in_degree,2.6921117759944854e-05
is_rush_hour,1.432483394272811e-05
high_risk_dst,8.037264163809221e-06
corr_ftl_share,6.798891112467757e-06
is_weekend,5.920275998268077e-06
both_high_risk,3.042973773123315e-06
high_risk_src,2.2811248987408866e-06
route_type_enc,1.7744196308138756e-06
corr_cross_community,1.724294513360088e-06
cross_community_flag,1.53006430658966e-06
corr_route_type_entropy,9.750765666812306e-08
month_cos,0.0
month,0.0
month_sin,0.0
